Isolate No.,Sample name,Treatment,6h ,9h
1,A1-1,A,0.9,2
2,A1-2,A,0.8,1.866666667
3,A1-3,A,0.633333333,1.666666667
4,A2-1,A,0.6,1.566666667
5,A2-2,A,0.6,1.533333333
6,A2-3,A,0.566666667,1.5
7,A3-1,A,0.733333333,1.7
8,A3-2,A,0.6,1.566666667
9,A3-3,A,0.633333333,1.65
10,A4-1,A,0.8,1.8
11,A4-2,A,0.766666667,1.766666667
12,A4-3,A,0.633333333,1.8
13,A5-1,A,0.733333333,1.633333333
14,A5-2,A,0.6,1.533333333
15,A5-3,A,0.866666667,1.833333333
16,A6-1,A,0.766666667,1.8
17,A6-2,A,0.766666667,1.833333333
18,A6-3,A,0.9,1.933333333
19,F1-1,F,0.966666667,2.033333333
20,F1-2,F,0.833333333,1.766666667
21,F1-3,F,1,1.833333333
22,F2-1,F,0.866666667,1.9
23,F2-2,F,0.933333333,2.033333333
24,F2-3,F,0.8,1.866666667
25,F3-1,F,0.733333333,1.766666667
26,F3-2,F,0.866666667,1.933333333
27,F3-3,F,0.766666667,1.9
28,F4-1,F,1.066666667,2.133333333
29,F4-2,F,0.9,1.8
30,F4-3,F,0.9,1.9
31,F5-1,F,0.933333333,1.9
32,F5-2,F,0.933333333,1.933333333
33,F5-3,F,0.9,1.833333333
34,F6-1,F,0.566666667,1.5
35,F6-2,F,0.866666667,1.766666667
36,F6-3,F,0.866666667,1.7
37,L2-1,L,1.033333333,2.1
38,L2-2,L,1.1,2.133333333
39,L2-3,L,1.2,2.333333333
40,L3-1,L,1.233333333,2.266666667
41,L3-2,L,0.933333333,1.933333333
42,L3-3,L,0.8,1.733333333
43,L5-1,L,0.866666667,1.933333333
44,L5-2,L,0.833333333,1.833333333
45,L5-3,L,1,2
46,L6-1,L,0.966666667,1.966666667
47,L6-2,L,0.9,1.9
48,L6-3,L,0.966666667,2
49,L8-1,L,0.966666667,1.866666667
50,L8-2,L,1,2.066666667
51,L8-3,L,1.066666667,2.133333333
52,L9-1,L,0.8,1.7
53,L9-2,L,0.7,1.533333333
54,L9-3,L,0.766666667,1.6
