Isolate	Colony	Diameter	Replicate	Treatment
1	A1-1	2.00	A1	Ancestral
2	A1-2	1.87	A1	Ancestral
3	A1-3	1.67	A1	Ancestral
4	A2-1	1.57	A2	Ancestral
5	A2-2	1.53	A2	Ancestral
6	A2-3	1.50	A2	Ancestral
7	A3-1	1.70	A3	Ancestral
8	A3-2	1.57	A3	Ancestral
9	A3-3	1.65	A3	Ancestral
10	A4-1	1.80	A4	Ancestral
11	A4-2	1.77	A4	Ancestral
12	A4-3	1.80	A4	Ancestral
13	A5-1	1.63	A5	Ancestral
14	A5-2	1.53	A5	Ancestral
15	A5-3	1.83	A5	Ancestral
16	A6-1	1.80	A6	Ancestral
17	A6-2	1.83	A6	Ancestral
18	A6-3	1.93	A6	Ancestral
19	F1-1	2.03	F1	Flour_passaged
20	F1-2	1.77	F1	Flour_passaged
21	F1-3	1.83	F1	Flour_passaged
22	F2-1	1.90	F2	Flour_passaged
23	F2-2	2.03	F2	Flour_passaged
24	F2-3	1.87	F2	Flour_passaged
25	F3-1	1.77	F3	Flour_passaged
26	F3-2	1.93	F3	Flour_passaged
27	F3-3	1.90	F3	Flour_passaged
28	F4-1	2.13	F4	Flour_passaged
29	F4-2	1.80	F4	Flour_passaged
30	F4-3	1.90	F4	Flour_passaged
31	F5-1	1.90	F5	Flour_passaged
32	F5-2	1.93	F5	Flour_passaged
33	F5-3	1.83	F5	Flour_passaged
34	F6-1	1.50	F6	Flour_passaged
35	F6-2	1.77	F6	Flour_passaged
36	F6-3	1.79	F6	Flour_passaged
37	L2-1	2.10	L2	Larvae_passaged
38	L2-2	2.12	L2	Larvae_passaged
39	L2-3	2.33	L2	Larvae_passaged
40	L3-1	2.27	L3	Larvae_passaged
41	L3-2	1.93	L3	Larvae_passaged
42	L3-3	1.73	L3	Larvae_passaged
43	L5-1	1.93	L5	Larvae_passaged
44	L5-2	1.83	L5	Larvae_passaged
45	L5-3	2.00	L5	Larvae_passaged
46	L6-1	1.97	L6	Larvae_passaged
47	L6-2	1.90	L6	Larvae_passaged
48	L6-3	2.00	L6	Larvae_passaged
49	L8-1	1.87	L8	Larvae_passaged
50	L8-2	2.07	L8	Larvae_passaged
51	L8-3	2.13	L8	Larvae_passaged
52	L9-1	1.70	L9	Larvae_passaged
53	L9-2	1.53	L9	Larvae_passaged
54	L9-3	1.60	L9	Larvae_passaged
