Sample	Plate	Pretreatment	Treatment	Day of Death	Survival	Regime
1	1	K	P	2	1	KP
2	1	K	P	3	1	KP
3	1	K	P	9	1	KP
4	1	K	P	14	0	KP
5	1	K	P	14	0	KP
6	1	K	P	14	0	KP
7	1	K	P	14	0	KP
8	1	K	P	14	0	KP
9	1	K	P	14	0	KP
10	1	K	P	14	0	KP
11	1	K	P	14	0	KP
12	1	K	P	14	0	KP
13	1	K	P	14	0	KP
14	1	K	P	14	0	KP
15	1	A	P	2	1	AP
16	1	A	P	2	1	AP
17	1	A	P	2	1	AP
18	1	A	P	8	1	AP
19	1	A	P	11	1	AP
20	1	A	P	14	0	AP
21	1	A	P	14	0	AP
22	1	A	P	14	0	AP
23	1	A	P	14	0	AP
24	1	A	P	14	0	AP
25	1	A	P	14	0	AP
26	1	A	P	14	0	AP
27	1	A	P	14	0	AP
28	1	A	P	14	0	AP
29	1	L2	P	1	1	L2P
30	1	L2	P	1	1	L2P
31	1	L2	P	5	1	L2P
32	1	L2	P	14	0	L2P
33	1	L2	P	14	0	L2P
34	1	L2	P	14	0	L2P
35	1	L2	P	14	0	L2P
36	1	L2	P	14	0	L2P
37	1	L2	P	14	0	L2P
38	1	L2	P	14	0	L2P
39	1	L2	P	14	0	L2P
40	1	L2	P	14	0	L2P
41	1	L3	P	14	0	L3P
42	1	L3	P	14	0	L3P
43	1	L3	P	14	0	L3P
44	1	L3	P	14	0	L3P
45	1	L3	P	14	0	L3P
46	1	L3	P	14	0	L3P
47	1	L3	P	14	0	L3P
48	1	L3	P	14	0	L3P
49	1	L3	P	14	0	L3P
50	1	L3	P	14	0	L3P
51	1	L3	P	14	0	L3P
52	1	L6	P	2	1	L6P
53	1	L6	P	8	1	L6P
54	1	L6	P	14	0	L6P
55	1	L6	P	14	0	L6P
56	1	L6	P	14	0	L6P
57	1	L6	P	14	0	L6P
58	1	L6	P	14	0	L6P
59	1	L6	P	14	0	L6P
60	1	L6	P	14	0	L6P
61	1	L6	P	14	0	L6P
62	1	L6	P	14	0	L6P
63	1	L6	P	14	0	L6P
64	1	L6	P	14	0	L6P
65	1	P	P	1	1	PP
66	1	P	P	13	1	PP
67	1	P	P	14	0	PP
68	1	P	P	14	0	PP
69	1	P	P	14	0	PP
70	1	P	P	14	0	PP
71	1	P	P	14	0	PP
72	1	P	P	14	0	PP
73	1	P	P	14	0	PP
74	1	P	P	14	0	PP
75	1	P	P	14	0	PP
76	1	P	P	14	0	PP
77	1	P	P	14	0	PP
78	2	K	B	1	1	KB
79	2	K	B	1	1	KB
80	2	K	B	1	1	KB
81	2	K	B	1	1	KB
82	2	K	B	1	1	KB
83	2	K	B	1	1	KB
84	2	K	B	1	1	KB
85	2	K	B	1	1	KB
86	2	K	B	1	1	KB
87	2	K	B	3	1	KB
88	2	K	B	3	1	KB
89	2	K	B	8	1	KB
90	2	K	B	9	1	KB
91	2	K	B	9	1	KB
92	2	K	B	9	1	KB
93	2	K	B	11	1	KB
94	2	A	B	1	1	AB
95	2	A	B	1	1	AB
96	2	A	B	1	1	AB
97	2	A	B	1	1	AB
98	2	A	B	2	1	AB
99	2	A	B	3	1	AB
100	2	A	B	4	1	AB
101	2	A	B	4	1	AB
102	2	A	B	9	1	AB
103	2	A	B	9	1	AB
104	2	A	B	10	1	AB
105	2	A	B	11	1	AB
106	2	A	B	12	1	AB
107	2	A	B	13	1	AB
108	2	A	B	14	0	AB
109	2	A	B	14	0	AB
110	2	L2	B	1	1	L2B
111	2	L2	B	2	1	L2B
112	2	L2	B	3	1	L2B
113	2	L2	B	4	1	L2B
114	2	L2	B	5	1	L2B
115	2	L2	B	7	1	L2B
116	2	L2	B	9	1	L2B
117	2	L2	B	9	1	L2B
118	2	L2	B	10	1	L2B
119	2	L2	B	11	1	L2B
120	2	L2	B	11	1	L2B
121	2	L2	B	13	1	L2B
122	2	L2	B	14	0	L2B
123	2	L2	B	14	0	L2B
124	2	L2	B	14	0	L2B
125	2	L3	B	1	1	L3B
126	2	L3	B	1	1	L3B
127	2	L3	B	1	1	L3B
128	2	L3	B	1	1	L3B
129	2	L3	B	1	1	L3B
130	2	L3	B	2	1	L3B
131	2	L3	B	4	1	L3B
132	2	L3	B	5	1	L3B
133	2	L3	B	10	1	L3B
134	2	L3	B	10	1	L3B
135	2	L3	B	13	1	L3B
136	2	L3	B	14	0	L3B
137	2	L3	B	14	0	L3B
138	2	L3	B	14	0	L3B
139	2	L3	B	14	0	L3B
140	2	L6	B	1	1	L6B
141	2	L6	B	1	1	L6B
142	2	L6	B	1	1	L6B
143	2	L6	B	1	1	L6B
144	2	L6	B	1	1	L6B
145	2	L6	B	1	1	L6B
146	2	L6	B	2	1	L6B
147	2	L6	B	2	1	L6B
148	2	L6	B	2	1	L6B
149	2	L6	B	8	1	L6B
150	2	L6	B	8	1	L6B
151	2	L6	B	9	1	L6B
152	2	L6	B	10	1	L6B
153	2	L6	B	10	1	L6B
154	2	L6	B	12	1	L6B
155	2	L6	B	14	1	L6B
156	2	P	B	1	1	PB
157	2	P	B	1	1	PB
158	2	P	B	1	1	PB
159	2	P	B	1	1	PB
160	2	P	B	8	1	PB
161	2	P	B	9	1	PB
162	2	P	B	9	1	PB
163	2	P	B	10	1	PB
164	2	P	B	14	1	PB
165	2	P	B	14	0	PB
166	2	P	B	14	0	PB
167	2	P	B	14	0	PB
168	2	P	B	14	0	PB
169	2	P	B	14	0	PB
170	3	K	P	2	1	KP
171	3	K	P	3	1	KP
172	3	K	P	6	1	KP
173	3	K	P	9	1	KP
174	3	K	P	14	0	KP
175	3	K	P	14	0	KP
176	3	K	P	14	0	KP
177	3	K	P	14	0	KP
178	3	K	P	14	0	KP
179	3	K	P	14	0	KP
180	3	K	P	14	0	KP
181	3	K	P	14	0	KP
182	3	K	P	14	0	KP
183	3	K	P	14	0	KP
184	3	K	P	14	0	KP
185	3	K	P	14	0	KP
186	3	A	P	3	1	AP
187	3	A	P	4	1	AP
188	3	A	P	6	1	AP
