"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"1",0,0.091675,0.093,0.0936,0.0931,0.09175,0.090375,0.089575,0.090275,0.09015,0.090075,0.091625,0.090925,0.090725,0.091375,0.0911,0.0921,0.090575,0.090825,0.087325
"2",0.25,0.0927,0.093925,0.094375,0.0938,0.092275,0.09185,0.0906,0.0921,0.091275,0.091375,0.0928,0.092475,0.09145,0.0923,0.092125,0.09265,0.091425,0.09095,0.0879208333333333
"3",0.5,0.0937,0.095025,0.095225,0.094975,0.094025,0.0935,0.09155,0.092975,0.092475,0.092,0.0943,0.093425,0.093,0.093475,0.0936,0.093725,0.0926,0.09245,0.0882958333333333
"4",0.75,0.09515,0.096525,0.096775,0.0964,0.094975,0.095375,0.093775,0.09495,0.094375,0.09385,0.0964,0.095125,0.0957,0.095175,0.0952,0.09525,0.0939,0.0938,0.0878208333333333
"5",1,0.097825,0.0993,0.09935,0.099325,0.098425,0.098675,0.096525,0.0979,0.0979,0.096375,0.099225,0.098375,0.09855,0.09795,0.0979,0.09825,0.0966,0.096675,0.0877416666666667
"6",1.25,0.1015,0.102725,0.102775,0.10305,0.102725,0.1028,0.10145,0.10255,0.101525,0.10045,0.103475,0.102625,0.103,0.10195,0.102125,0.10215,0.100275,0.100275,0.0878708333333333
"7",1.5,0.106125,0.107325,0.10735,0.107725,0.107275,0.10785,0.1062,0.107475,0.10655,0.10525,0.10875,0.107975,0.1089,0.10675,0.10705,0.1069,0.10485,0.1045,0.0876666666666667
"8",1.75,0.112625,0.1137,0.1137,0.1144,0.114175,0.115375,0.114375,0.115475,0.114,0.11205,0.116375,0.115675,0.11775,0.114225,0.115025,0.11415,0.11145,0.110225,0.0876875
"9",2,0.122725,0.1235,0.123425,0.124225,0.12445,0.1261,0.125075,0.1267,0.124675,0.12285,0.127425,0.12625,0.130225,0.124725,0.125975,0.1246,0.121075,0.11895,0.0876208333333333
"10",2.25,0.13565,0.13605,0.135975,0.136925,0.1374,0.139725,0.138175,0.14045,0.137725,0.135625,0.140525,0.13965,0.14435,0.137525,0.13855,0.13735,0.1329,0.129225,0.0877583333333333
"11",2.5,0.15035,0.15025,0.150425,0.1513,0.15235,0.155525,0.1527,0.1541,0.15235,0.149875,0.1551,0.153725,0.1575,0.15115,0.152925,0.151225,0.1461,0.1412,0.0876125
"12",2.75,0.163475,0.1634,0.163375,0.16415,0.165425,0.168825,0.165325,0.1663,0.16485,0.162475,0.167225,0.1658,0.16865,0.163325,0.164625,0.163325,0.158975,0.1537,0.0875666666666667
"13",3,0.174025,0.1743,0.1742,0.1747,0.175925,0.179375,0.175625,0.17595,0.175125,0.17255,0.177675,0.176275,0.179925,0.1731,0.1753,0.173075,0.168775,0.1641,0.0875458333333333
"14",3.25,0.1855,0.1857,0.1855,0.186275,0.187725,0.191475,0.187525,0.187175,0.1867,0.183575,0.1884,0.187725,0.192525,0.18425,0.185975,0.184075,0.179575,0.1749,0.0875625
"15",3.5,0.197725,0.1979,0.197825,0.19825,0.200175,0.20435,0.200325,0.199425,0.199225,0.19555,0.2001,0.2003,0.20585,0.196325,0.19865,0.196125,0.190675,0.186,0.0875583333333333
"16",3.75,0.210525,0.21065,0.210325,0.2109,0.2134,0.217025,0.21175,0.21215,0.2118,0.208275,0.213375,0.21305,0.2148,0.209075,0.2112,0.208925,0.202925,0.1987,0.0875333333333333
"17",4,0.220275,0.22025,0.2202,0.220625,0.222725,0.226225,0.218825,0.220875,0.220425,0.2182,0.2225,0.221125,0.221375,0.216975,0.218675,0.216925,0.214025,0.2081,0.0878083333333333
"18",4.25,0.227075,0.227725,0.2276,0.227525,0.229625,0.233225,0.225675,0.227675,0.2271,0.224175,0.228625,0.227975,0.228825,0.22365,0.2252,0.2235,0.220875,0.2143,0.0875458333333333
"19",4.5,0.2345,0.234675,0.234575,0.23445,0.2368,0.240425,0.23295,0.2344,0.234525,0.2313,0.2356,0.2348,0.236225,0.231125,0.232725,0.2309,0.227775,0.22105,0.0875583333333333
"20",4.75,0.242,0.24225,0.241875,0.242075,0.24435,0.24785,0.24095,0.24215,0.24245,0.238625,0.242825,0.24215,0.24455,0.23835,0.24,0.23845,0.23485,0.228775,0.0874833333333333
