ID;time;strain;OD
1;0;A1;0.091675
2;0;A2;0.093
3;0;A3;0.0936
4;0;A4;0.0931
5;0;A5;0.09175
6;0;A6;0.090375
7;0;F1;0.089575
8;0;F2;0.090275
9;0;F3;0.09015
10;0;F4;0.090075
11;0;F5;0.091625
12;0;F6;0.090925
13;0;L2;0.090725
14;0;L3;0.091375
15;0;L5;0.0911
16;0;L6;0.0921
17;0;L8;0.090575
18;0;L9;0.090825
19;0;blank;0.087325
20;0.25;A1;0.0927
21;0.25;A2;0.093925
22;0.25;A3;0.094375
23;0.25;A4;0.0938
24;0.25;A5;0.092275
25;0.25;A6;0.09185
26;0.25;F1;0.0906
27;0.25;F2;0.0921
28;0.25;F3;0.091275
29;0.25;F4;0.091375
30;0.25;F5;0.0928
31;0.25;F6;0.092475
32;0.25;L2;0.09145
33;0.25;L3;0.0923
34;0.25;L5;0.092125
35;0.25;L6;0.09265
36;0.25;L8;0.091425
37;0.25;L9;0.09095
38;0.25;blank;0.087920833
39;0.5;A1;0.0937
40;0.5;A2;0.095025
41;0.5;A3;0.095225
42;0.5;A4;0.094975
43;0.5;A5;0.094025
44;0.5;A6;0.0935
45;0.5;F1;0.09155
46;0.5;F2;0.092975
47;0.5;F3;0.092475
48;0.5;F4;0.092
49;0.5;F5;0.0943
50;0.5;F6;0.093425
51;0.5;L2;0.093
52;0.5;L3;0.093475
53;0.5;L5;0.0936
54;0.5;L6;0.093725
55;0.5;L8;0.0926
56;0.5;L9;0.09245
57;0.5;blank;0.088295833
58;0.75;A1;0.09515
59;0.75;A2;0.096525
60;0.75;A3;0.096775
61;0.75;A4;0.0964
62;0.75;A5;0.094975
63;0.75;A6;0.095375
64;0.75;F1;0.093775
65;0.75;F2;0.09495
66;0.75;F3;0.094375
67;0.75;F4;0.09385
68;0.75;F5;0.0964
69;0.75;F6;0.095125
70;0.75;L2;0.0957
71;0.75;L3;0.095175
72;0.75;L5;0.0952
73;0.75;L6;0.09525
74;0.75;L8;0.0939
75;0.75;L9;0.0938
76;0.75;blank;0.087820833
77;1;A1;0.097825
78;1;A2;0.0993
79;1;A3;0.09935
80;1;A4;0.099325
81;1;A5;0.098425
82;1;A6;0.098675
83;1;F1;0.096525
84;1;F2;0.0979
85;1;F3;0.0979
86;1;F4;0.096375
87;1;F5;0.099225
88;1;F6;0.098375
89;1;L2;0.09855
90;1;L3;0.09795
91;1;L5;0.0979
92;1;L6;0.09825
93;1;L8;0.0966
94;1;L9;0.096675
95;1;blank;0.087741667
96;1.25;A1;0.1015
97;1.25;A2;0.102725
98;1.25;A3;0.102775
99;1.25;A4;0.10305
100;1.25;A5;0.102725
101;1.25;A6;0.1028
102;1.25;F1;0.10145
103;1.25;F2;0.10255
104;1.25;F3;0.101525
105;1.25;F4;0.10045
106;1.25;F5;0.103475
107;1.25;F6;0.102625
108;1.25;L2;0.103
109;1.25;L3;0.10195
110;1.25;L5;0.102125
111;1.25;L6;0.10215
112;1.25;L8;0.100275
113;1.25;L9;0.100275
114;1.25;blank;0.087870833
115;1.5;A1;0.106125
116;1.5;A2;0.107325
117;1.5;A3;0.10735
118;1.5;A4;0.107725
119;1.5;A5;0.107275
120;1.5;A6;0.10785
121;1.5;F1;0.1062
122;1.5;F2;0.107475
123;1.5;F3;0.10655
124;1.5;F4;0.10525
125;1.5;F5;0.10875
126;1.5;F6;0.107975
127;1.5;L2;0.1089
128;1.5;L3;0.10675
129;1.5;L5;0.10705
130;1.5;L6;0.1069
131;1.5;L8;0.10485
132;1.5;L9;0.1045
133;1.5;blank;0.087666667
134;1.75;A1;0.112625
135;1.75;A2;0.1137
136;1.75;A3;0.1137
137;1.75;A4;0.1144
138;1.75;A5;0.114175
139;1.75;A6;0.115375
140;1.75;F1;0.114375
141;1.75;F2;0.115475
142;1.75;F3;0.114
143;1.75;F4;0.11205
144;1.75;F5;0.116375
145;1.75;F6;0.115675
146;1.75;L2;0.11775
147;1.75;L3;0.114225
148;1.75;L5;0.115025
149;1.75;L6;0.11415
150;1.75;L8;0.11145
151;1.75;L9;0.110225
152;1.75;blank;0.0876875
153;2;A1;0.122725
154;2;A2;0.1235
155;2;A3;0.123425
156;2;A4;0.124225
157;2;A5;0.12445
158;2;A6;0.1261
159;2;F1;0.125075
160;2;F2;0.1267
161;2;F3;0.124675
162;2;F4;0.12285
163;2;F5;0.127425
164;2;F6;0.12625
165;2;L2;0.130225
166;2;L3;0.124725
167;2;L5;0.125975
168;2;L6;0.1246
169;2;L8;0.121075
170;2;L9;0.11895
171;2;blank;0.087620833
172;2.25;A1;0.13565
173;2.25;A2;0.13605
174;2.25;A3;0.135975
175;2.25;A4;0.136925
176;2.25;A5;0.1374
