Sample;Target;?Cp
ECN;Att1;11.27204421
ECN;Att1;9.795561208
ECN;Att1;10.45275278
ECN;Att1;10.33329517
ECN;Att1;10.18575285
ECN;Att1;11.33563278
K12;Att1;11.15601372
K12;Att1;10.06034345
K12;Att1;10.25378673
K12;Att1;10.52406101
K12;Att1;10.44345591
K12;Att1;9.69272872
PBS;Att1;11.62677435
PBS;Att1;10.74460923
PBS;Att1;10.62775923
PBS;Att1;11.36206014
PBS;Att1;10.53420531
PBS;Att1;11.21615066
ECN;Att2;10.91928305
ECN;Att2;10.65021928
ECN;Att2;12.25855128
ECN;Att2;11.99929272
ECN;Att2;12.33638275
ECN;Att2;11.87680114
K12;Att2;12.82328175
K12;Att2;11.02688242
K12;Att2;11.8715693
K12;Att2;11.80960647
K12;Att2;11.92099707
K12;Att2;12.6611228
PBS;Att2;12.19174464
PBS;Att2;12.1403269
PBS;Att2;12.49834514
PBS;Att2;12.68010838
PBS;Att2;13.00808893
PBS;Att2;12.7764877
ECN;Def2;7.64010342
ECN;Def2;7.387988814
ECN;Def2;7.027970559
ECN;Def2;6.911236333
ECN;Def2;6.061847668
ECN;Def2;7.078027615
K12;Def2;6.426653022
K12;Def2;7.125054776
K12;Def2;6.309973626
K12;Def2;6.385048414
K12;Def2;6.843432646
K12;Def2;6.435235408
PBS;Def2;8.165923242
PBS;Def2;7.230538488
PBS;Def2;7.158674109
PBS;Def2;6.778564274
PBS;Def2;6.847109382
PBS;Def2;7.668369215
ECN;Def3;11.63028457
ECN;Def3;9.902435458
ECN;Def3;11.08035274
ECN;Def3;11.08143673
ECN;Def3;10.3521595
ECN;Def3;10.8388385
K12;Def3;11.45680096
K12;Def3;10.97151018
K12;Def3;10.5285722
K12;Def3;10.60790268
K12;Def3;10.44077514
K12;Def3;10.74205079
PBS;Def3;10.30209875
PBS;Def3;10.13310071
PBS;Def3;11.48431287
PBS;Def3;11.32100573
PBS;Def3;10.35423446
PBS;Def3;10.78606273
ECN;CEC2;11.00503263
ECN;CEC2;9.595643017
ECN;CEC2;10.68940388
ECN;CEC2;8.644648155
ECN;CEC2;9.280559454
ECN;CEC2;9.419427975
K12;CEC2;10.71216061
K12;CEC2;8.815498429
K12;CEC2;8.706823998
K12;CEC2;9.357567478
K12;CEC2;9.827512021
K12;CEC2;9.613154935
PBS;CEC2;9.062344779
PBS;CEC2;10.41053115
PBS;CEC2;9.983084062
PBS;CEC2;11.48922446
PBS;CEC2;9.993278665
PBS;CEC2;11.63695319
ECN;Osiris16;9.572967916
ECN;Osiris16;9.88486432
ECN;Osiris16;9.123688441
ECN;Osiris16;8.628908712
ECN;Osiris16;9.826267589
ECN;Osiris16;9.86409495
K12;Osiris16;10.21230917
K12;Osiris16;9.221827947
K12;Osiris16;9.823399815
K12;Osiris16;10.15437714
K12;Osiris16;9.929165567
K12;Osiris16;8.753499541
PBS;Osiris16;10.40730177
PBS;Osiris16;9.605893773
PBS;Osiris16;10.5313222
PBS;Osiris16;9.644925693
PBS;Osiris16;9.442188086
PBS;Osiris16;9.217604677
