Sample,Target,rel_expression,Treatment
ECN1,Att1,0.834566074,ECN
ECN2,Att1,2.322343187,ECN
ECN3,Att1,1.472624504,ECN
ECN4,Att1,1.59975084,ECN
ECN5,Att1,1.772013433,ECN
ECN6,Att1,0.798580423,ECN
K121,Att1,0.904460039,K12
K122,Att1,1.932942794,K12
K123,Att1,1.690389447,K12
K124,Att1,1.401606506,K12
K125,Att1,1.482144883,K12
K126,Att1,2.493917379,K12
ECN1,Att2,3.08670363,ECN
ECN2,Att2,3.719556833,ECN
ECN3,Att2,1.219930314,ECN
ECN4,Att2,1.460089996,ECN
ECN5,Att2,1.155860485,ECN
ECN6,Att2,1.58947341,ECN
K121,Att2,0.824772577,K12
K122,Att2,2.864865883,K12
K123,Att2,1.595247996,K12
K124,Att2,1.665255508,K12
K125,Att2,1.541519299,K12
K126,Att2,0.922887832,K12
ECN1,Def2,0.786037784,ECN
ECN2,Def2,0.936132842,ECN
ECN3,Def2,1.201472335,ECN
ECN4,Def2,1.302729593,ECN
ECN5,Def2,2.347176481,ECN
ECN6,Def2,1.16049988,ECN
K121,Def2,1.822755388,K12
K122,Def2,1.123281261,K12
K123,Def2,1.976297808,K12
K124,Def2,1.876085495,K12
K125,Def2,1.365416738,K12
K126,Def2,1.811944267,K12
ECN1,Def3,0.531277148,ECN
ECN2,Def3,1.759768528,ECN
ECN3,Def3,0.777798518,ECN
ECN4,Def3,0.777214326,ECN
ECN5,Def3,1.288472397,ECN
ECN6,Def3,0.919538974,ECN
K121,Def3,0.599162891,K12
K122,Def3,0.838748945,K12
K123,Def3,1.140169986,K12
K124,Def3,1.079167233,K12
K125,Def3,1.211711286,K12
K126,Def3,0.983345525,K12
ECN1,CEC2,0.653136966,ECN
ECN2,CEC2,1.734893472,ECN
ECN3,CEC2,0.812864178,ECN
ECN4,CEC2,3.35390527,ECN
ECN5,CEC2,2.158352708,ECN
ECN6,CEC2,1.960283237,ECN
K121,CEC2,0.800142849,K12
K122,CEC2,2.979337719,K12
K123,CEC2,3.212432406,K12
K124,CEC2,2.046165187,K12
K125,CEC2,1.477315613,K12
K126,CEC2,1.713962045,K12
ECN1,Osiris16,1.167353724,ECN
ECN2,Osiris16,0.940399306,ECN
ECN3,Osiris16,1.593855963,ECN
ECN4,Osiris16,2.245911356,ECN
ECN5,Osiris16,0.979380998,ECN
ECN6,Osiris16,0.95403543,ECN
K121,Osiris16,0.749448128,K12
K122,Osiris16,1.489039219,K12
K123,Osiris16,0.981329737,K12
K124,Osiris16,0.780154931,K12
K125,Osiris16,0.911961062,K12
K126,Osiris16,2.060093986,K12
